n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,latitude,longitude
Ref_0023,,11,Narbonne,,Versus Internet Café,,11000,,,11000 Narbonne,,,,,info@versus.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.205257,2.401897,,,,43.205257,2.401897
Ref_0024,,11,Narbonne,,Maison de la l'Emploi et de la Formation,,11000,,,11000 Narbonne,,,,,multimedia@mef-narbonnaise.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.205257,2.401897,,,,43.205257,2.401897
Ref_0025,,11,Narbonne,,Centre social Aide Mutuelle à l'Insertion,,11000,24 boulevard Frédéric Mistral,,24 boulevard Frédéric Mistral 11000 Narbonne,,Centre social,,04 68 65 07 10,ami-aude@orange.fr,https://ami-aude.com/index.html,,,,,,,,Decembre 2019,TP,,SENS,,,,SENS,,,,,,,,,,,,,,,,,,,,43.18616,3.002234,SENS-SENS,TP,,43.18616,3.002234
Ref_0026,,11,Narbonne,,Centre Social et Culturel Nelson MANDELA,,11000,4 Promenade Emilie Palomo,,4 Promenade Emilie Palomo 11000 Narbonne,,Centre social,,04 68 41 77 26,,https://www.csc-mandela.fr/,9 h - 12 h et 14 h - 18 h 00,9 h - 12 h et 14 h - 18 h 00,9 h - 12 h et 14 h - 18 h 00,9 h - 12 h et 14 h - 18 h 00,9 h - 12 h et 14 h - 18 h 00,,,Decembre 2019,,,COMP,,,,ACCDA,,,,ORD,,,,,,,,,,,,,,,,43.187463,2.985839,COMP-ACCDA-ORD,,,43.187463,2.985839
Ref_0027,,11,Port la Nouvelle,,Le Lieu Ressources Littoral,,11210,222 rue de la Mairie,,222 rue de la Mairie 11210 Port la Nouvelle,,,,04.68.40.37.45,lri.littoral@cidff.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.021057,3.042541,,,,43.021057,3.042541
Ref_0028,,11,Narbonne,,France Services - PIMMS du Narbonnais,Union Nationale des PIMMS,11000,8 avenue du Maréchal Foch,,8 avenue du Maréchal Foch 11000 Narbonne,,PIMMS MSAP,,04 68 43 68 93,narbonne@pimms.org,,8:30 - 12:00 / 14:00 - 17:00,14:00 - 17:00,8:30 - 12:00 / 14:00 - 17:00,14:00 - 17:00,8:30 - 12:00 / 14:00 - 17:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.187225,3.005378,,,,43.187225,3.005378
Ref_0029,,11,Narbonne,,INESS GRAND NARBONNE,C.C GRAND NARBONNE,11100,30 avenue Pompidor,,30 avenue Pompidor 11100 Narbonne,Collectivités,,,04 11 23 22 00,service.accueil-iness@legrandnarbonne.com,,,,,,,,,Decembre 2019,,,FL,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.182245,2.979074,FL,,,43.182245,2.979074
Ref_0030,,11,Saint Marcel sur Aude,,France Services - Centre Socioculturel et Familial ‘Les Passerelles’,,11120,107 avenue de Saint Pons,BP 8,107 avenue de Saint Pons 11120 Saint Marcel sur Aude,,Centre social,,04 30 16 67 15,lespasserelles@cs-les-passerelles.fr,www.cs-les-passerelles.fr,9h – 12h et 14h – 18h,9h - 12h,9h – 12h et 14h – 18h,9h - 12h,9h - 12h,,,Avril 2021,,,ORDM,,,,ACCDA,,,,ACCN,,,,SENS,,,,COMP,,,,MFS,France Services,,,43.251553,2.914701,ORDM-ACCDA-ACCN-SENS-COMP,,,43.251553,2.914701
Ref_0031,,11,Salles sur l'hers,,France Services - Centre social Energies de la Piège,Castelnaudary Lauragais Audois,11410,9 Rue des Rosiers,,9 Rue des Rosiers 11410 Salles sur l'hers,Association,MSAP,,04 68 60 38 98,,https://energiespiege.org/,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.293572,1.782541,,,,43.293572,1.782541
Ref_0032,,11,Sigean,,France Services - PIMMS - Corbières Méditerranée,Union Nationale des PIMMS,11130,2 place de la Libération,,2 place de la Libération 11130 Sigean,,PIMMS,,04 68 33 51 12,sigean@pimms.org,,14:00 - 17:00,9:00 - 13:00 / 14:00 - 19:00,9:00 - 13:00 / 14:00 - 17:00,14:00 - 17:00,9:00 - 12:00,-,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.0288,2.979497,,,,43.0288,2.979497
Ref_0033,,11,Thezan des corbieres,,Espace Public Numérique de la Contrée de Durban-Corbières,,11200,,,11200 Thezan des corbieres,,,,,developpementlocal@contree-durban-corbieres.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,EPN,Espace Public Numérique,,,43.080495,2.785339,,,,43.080402,2.785587
Ref_0034,,11,Argens-minervois,,Tiers-lieu « l’oppidum »,,11200,18 Rue de l’ancienne forge,,18 Rue de l’ancienne forge 11200 Argens-minervois,,,,06 41 28 46 74,epops-biodiversite@laposte.net,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.242061,2.766053,,,,43.242061,2.766053
Ref_0035,,11,CARCASSONNE,,MEDIATHEQUE GRAIN D’SEL,Carcassonne Agglo,11000,Rue Fédou,,Rue Fédou 11000 CARCASSONNE,,Médiathèque,,04 68 10 35 50,mediatheque@caracassonne-agglo.fr,,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.21348,2.357953,ORD,TP,,43.21348,2.357953
Ref_0036,,11,Chalabre,,Maison de Services au Public de Chalabre,La Poste,11230,Bureau de poste Avenue Auguste Cathala,,Bureau de poste Avenue Auguste Cathala 11230 Chalabre,,MSAP,,,msap.chalabre@laposte.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.984047,2.00729,,,,42.983793,2.007171
Ref_0037,,11,Axat,,Maison de Services au Public d’Axat,La Poste,11140,Bureau de poste 1 Place du Jardin public,,Bureau de poste 1 Place du Jardin public 11140 Axat,,MSAP,,,msap.axat@laposte.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.800938,2.230193,,,,42.800938,2.230193
Ref_0038,,11,Belcaire,,Maison de Services au Public de Belcaire,La Poste,11340,Bureau de poste 10 rue de la Poste,,Bureau de poste 10 rue de la Poste 11340 Belcaire,,MSAP,,04 68 20 32 76,msap.belcaire@laposte.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.816606,1.960823,,,,42.816606,1.960823
Ref_0039,,11,Belvèze-du-Razès,,Maison de Services au Public de Belvèze-du-Razès,La Poste,11240,Bureau de poste 27 allée des Platanes,,Bureau de poste 27 allée des Platanes 11240 Belvèze-du-Razès,,MSAP,,04 68 69 00 60,msap.belveze-du-razes@laposte.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,43.125174,2.097443,,,,43.125174,2.097443
Ref_0040,,11,Couiza,,Maison de Services au Public de Couiza,La Poste,11190,Bureau de poste 20 RN Pyrénées,,Bureau de poste 20 RN Pyrénées 11190 Couiza,,MSAP,,,msap.couiza@laposte.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.941516,2.253501,,,,42.941516,2.253501
Ref_0041,,11,Villasavary,,Maison de Services au Public de Villasavary,,11150,42 rue du Barry,,42 rue du Barry 11150 Villasavary,,MSAP,,04 68 11 93 95,mairie-de-villasavary@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,43.219841,2.039813,,,,43.219841,2.039813
Ref_0042,,11,Narbonne,,Maison des Potes,,11100,5 rue Baudin,,5 rue Baudin 11100 Narbonne,Association,,,04 68 65 10 55,mdpnarbonne11@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1851,3.005788,,,,43.1851,3.005788
Ref_0043,,11,Narbonne,,L'Arche,,11100,1 rue de l'Orbieu,,1 rue de l'Orbieu 11100 Narbonne,Association,,,04 68 41 03 65,arche.narbonne@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.183984,2.981618,,,,43.183984,2.981618
Ref_0044,,11,Narbonne,,Centre Social et Culturel NELSON MANDELA,,11100,4 Promenade Emilie Palomo,,4 Promenade Emilie Palomo 11100 Narbonne,,Centre social,,04 68 41 77 26,centresocialnarbonne@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.187463,2.985839,,,,43.187463,2.985839
Ref_0045,,11,Carcassonne,,Ecole de la seconde chance,,11000,82 Rue Barbacane,,82 Rue Barbacane 11000 Carcassonne,,,,04 68 25 56 74,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2084,2.360942,,,,43.2084,2.360942
Ref_0046,,11,Narbonne,,MAISON DIGITALE DU CIDFF,,11100,37 avenue des Pyrénées,,37 avenue des Pyrénées 11100 Narbonne,,,,04.68.42.51.33,lri.narbonne@cidff.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.182851,2.99778,,,,43.182851,2.99778
Ref_0047,,11,Narbonne,,LA BULLE DU WEB (WAW-coworking),,11100,12 Boulevard Gambetta,,12 Boulevard Gambetta 11100 Narbonne,,,,09 82 38 35 49,hello@labulleweb.com,,,,,,,,,Decembre 2019,,,W,,,,,,,,,,,,,,,,,,,,,,,,43.182401,3.007402,W,,,43.182401,3.007402
Ref_0048,,11,Narbonne,,Ecole de la seconde Chance,,11100,1 avenue gustave eiffel,,1 avenue gustave eiffel 11100 Narbonne,,,,04 68 40 34 12,crfp.verdegay@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.158696,2.978507,,,,43.158696,2.978507
Ref_0049,,11,Caunes-Minervois,,Maison de services au public Caunes-Minervois,,11160,Allée des Raisins,,Allée des Raisins 11160 Caunes-Minervois,,MSAP,,,msap.caunes-minervois@laposte.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.327227,2.523028,,,,43.326931,2.523133
Ref_0050,,11,Durban-Corbières,,France Services - Durban-Corbières,,11360,6 Rue de la Mairie,,6 Rue de la Mairie 11360 Durban-Corbières,,MSAP,,04 68 45 89 00,durban-corbieres@france-services.gouv.fr,https://www.cohesion-territoires.gouv.fr/france-services,de 09h00 à 12h15 de 13h30 à 15h40,de 09h00 à 12h15 de 13h30 à 15h40,de 09h00 à 12h15 de 13h30 à 15h40,de 09h00 à 12h15 de 13h30 à 15h40,de 09h00 à 12h15 de 13h30 à 15h40,,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,42.99612,2.81385,,,,42.99612,2.81385
Ref_0051,,11,Palaja,,Médiathèque Municipale de Palaja,,11570,Rue Lô Moral,,Rue Lô Moral 11570 Palaja,,Médiathèque,,04 68 79 85 73,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.174999,2.387838,,,,43.174999,2.387838
Ref_0052,,11,Alzonne,,Médiathèque d'Alzonne,,11170,Parc Municipal,,Parc Municipal 11170 Alzonne,,Médiathèque,,04 68 76 33 02,mediatheque@carcassonne-agglo.fr,,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.254495,2.175926,ORD,TP,,43.254495,2.175926
Ref_0053,,11,Capendu,,Maison de services au public - Piemont d'Alaric,,11700,2 Rue des Figuères,,2 Rue des Figuères 11700 Capendu,,MSAP,,04 68 79 87 01,msap@piemont-alaric.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,43.184142,2.556949,,,,43.184142,2.556949
Ref_0054,,11,Capendu,,Le Chai : Espace culturel,,11700,63 Avenue des Anciens Combattants,,63 Avenue des Anciens Combattants 11700 Capendu,Association,,,04 68 79 37 91,lechai@piemont-alaric.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.187031,2.551455,,,,43.187031,2.551455
Ref_0055,,11,Axat,,Mairie d'Axat,,11140,66 Route Départementale,,66 Route Départementale 11140 Axat,Collectivité territoriale,,,04 68 20 50 28,mairie.axat@axat.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80471,2.234378,,,,42.80471,2.234378
Ref_0056,,11,Espezel,,Médiathèque du Pays de Sault,,11230,Grand'Rue,,Grand'Rue 11230 Espezel,,Médiathèque,,04 68 74 38 93,media.espezel@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.88641,2.045127,,,,42.88729,2.045895
Ref_0057,,11,Chalabre,,Bibliothèque Municipale de Chalabre,,11230,4 Rue des Boulangers,,4 Rue des Boulangers 11230 Chalabre,,Bibliothèque,,04 68 69 49 06,epn@pyreneesaudoises.fr,,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,42.983704,2.006451,ORD,TP,,42.98373,2.00626
Ref_0058,,11,Espéraza,,Médiathèque d'Espéraza,,11260,avenue de la gare,,avenue de la gare 11260 Espéraza,,Médiathèque,,04 68 74 13 51,bibliotheque_esperaza@Yahoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.935189,2.219577,,,,42.935189,2.219577
Ref_0059,,11,Villerouge-Termenès,,Maison de services au public POM'S de Villerouge-Termenès,,11330,8 Rue du Couvent,,8 Rue du Couvent 11330 Villerouge-Termenès,,MSAP,,04 68 70 00 16,poms.villerouge@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,43.007073,2.627163,,,,43.007073,2.627163
Ref_0060,,11,Tuchan,,France Services - Tuchan,,11350,21 rue de la poste,,21 rue de la poste 11350 Tuchan,,MSAP,,04 68 42 42 41,Tuchan@france-services.gouv.fr1,https://www.cohesion-territoires.gouv.fr/france-services,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 11h30,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,42.889375,2.718155,,,,42.889375,2.718155
Ref_0061,,11,Trèbes,,Médiathèque de Trèbes,,11800,place de l'hôtel de ville,,place de l'hôtel de ville 11800 Trèbes,,Médiathèque,,04 68 78 51 33,bibliotheque-trebes@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.209491,2.442856,,,,43.209491,2.442856
Ref_0062,,11,Saint-Laurent de la Cabrerisse,,Médiathèque de Saint-Laurent de la Cabrerisse,,11220,22 avenue de narbonne,,22 avenue de narbonne 11220 Saint-Laurent de la Cabrerisse,,Médiathèque,,04 68 33 39 30,mediathequeslc11@gmail.com,https://www.st-laurent-de-la-cabrerisse.com/,,9h30-11h30 & 17h-18h,9h30-11h30 & 16h-18h,,9h30-11h30 & 16h-18h,9h30-11h30,,Février 2022,TP,,ORDM,TP,,,,,,,,,,,,,,,,,,,,,oui,,43.08489,2.70105,ORDM,TP-TP,,43.08489,2.70105
