rh_id,n_ref,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,horaires_semaine,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,bloc_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,bloc_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,bloc_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,bloc_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,bloc_mediation_5,bloc_mediations,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,code_departement
RH_fiche_11_,Ref_0011,,11,=11=,Carcassonne,,Logigames,,11000,25 boulevard de Varsovie,,25 boulevard de Varsovie 11000 Carcassonne,,,Entreprise,,,04 68 72 67 04,logigames2001@yahoo.fr,logigames.fr,,10h – 19h,10h – 19h,10h – 19h,10h – 19h,13h - 21h,,<p><br><ul><li>mardi : 10h – 19h</li><li>mercredi : 10h – 19h</li><li>jeudi : 10h – 19h</li><li>vendredi : 10h – 19h</li><li>samedi : 13h - 21h</li></ul></p>,Decembre 2019,,,ORDM,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ACCN,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.213934,2.346802,ORDM-ACCN,,,=11=
RH_fiche_12_,Ref_0012,,11,=11=,Caves,,ATRIUM,,11510,,,11510 Caves,,,,,,,atriumcaves@gmail.com,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.93109,2.974247,,,,=11=
RH_fiche_13_,Ref_0013,,11,=11=,Davejean,,Maison de services au public POM'S de Davejean,,11330,rue de la poste,,rue de la poste 11330 Davejean,,,,MSAP,,04 68 70 09 47,poms.davejean@orange.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.96053,2.606019,,,,=11=
RH_fiche_14_,Ref_0014,,11,=11=,Fabrezan,,Mediatheque Milcom de Fabrezan,,11200,1 Avenue de la Mairie,,1 Avenue de la Mairie 11200 Fabrezan,,,Collectivité territoriale,Médiathèque,,04 68 43 71 92,,,,,,,,,,,Decembre 2019,,,ORD,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.137194,2.70024,ORD,TP,,=11=
RH_fiche_15_,Ref_0015,,11,=11=,Lezignan,,Isis (epicerie solidaire),,11200,39 rue Lamartine,,39 rue Lamartine 11200 Lezignan,,,Association,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.202429,2.757544,,,,=11=
RH_fiche_16_,Ref_0016,,11,=11=,Lezignan Corbières,,MJC Lezignan Corbières,,11200,25 Rue Marat,,25 Rue Marat 11200 Lezignan Corbières,,,Association,MJC,,04 68 27 03 34,mjc.lezignan.corbieres@wanadoo.fr,www.mjc-lezignan-corbieres.com,08h - 20h,08h - 20h,08h - 20h,08h - 20h,08h - 20h,08h - 13h,,<p><br><ul><li>lundi : 08h - 20h</li><li>mardi : 08h - 20h</li><li>mercredi : 08h - 20h</li><li>jeudi : 08h - 20h</li><li>vendredi : 08h - 20h</li><li>samedi : 08h - 13h</li></ul></p>,Decembre 2019,,,ORD,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ACCDS,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel accès aux droits simple</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",COMP,TP-J-DE,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel accès aux droits simple</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",TL-APTIC,Tiers lieu - APTIC,,,43.199696,2.757916,ORD-ACCDS-COMP,TP-TP-J-DE,,=11=
RH_fiche_17_,Ref_0017,,65,=65=,Bagnères de Bigorre,,Maison Départementale de la Solidarité site de Bagnères,,65200,1 avenue de Castelmouly,,1 avenue de Castelmouly 65200 Bagnères de Bigorre,,,,,Département des Hautes Pyrénées,05 31 74 36 20,mds.hautadour@ha-py.fr  ,www.hautespyrenees.fr,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,,,<p><br><ul><li>lundi : 9h-12h et 14h-17h</li><li>mardi : 9h-12h et 14h-17h</li><li>mercredi : 9h-12h et 14h-17h</li><li>jeudi : 9h-12h et 14h-17h</li><li>vendredi : 9h-12h et 14h-17h</li></ul></p>,Février 2021,,,ACCDA,TP,RDV avec une secrétaire pour aide à faire des démarches en ligne (accès aux droits) et si la situation est complexe  avec un travailleur social,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>RDV avec une secrétaire pour aide à faire des démarches en ligne (accès aux droits) et si la situation est complexe  avec un travailleur social</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>RDV avec une secrétaire pour aide à faire des démarches en ligne (accès aux droits) et si la situation est complexe  avec un travailleur social</li></ul></p>",,,,,43.070241,0.148586,ACCDA,TP,,=65=
RH_fiche_18_,Ref_0018,,11,=11=,Limoux,,France Services - Limouxin,MSA,11300,17 chemin Farinier,,17 chemin Farinier 11300 Limoux,,,,,,,,,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00,8:30 - 12:00,8:30 - 12:00 / 13:30 - 16:30,-,,<p><br><ul><li>lundi : 8:30 - 12:00</li><li>mardi : 8:30 - 12:00 / 13:30 - 17:00</li><li>mercredi : 8:30 - 12:00</li><li>jeudi : 8:30 - 12:00</li><li>vendredi : 8:30 - 12:00 / 13:30 - 16:30</li><li>samedi : -</li></ul></p>,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.057309,2.213259,,,,=11=
RH_fiche_19_,Ref_0019,,11,=11=,Limoux,,TIERS LIEUX LIMOUX,,11300,7  rue du Cougaing,,7  rue du Cougaing 11300 Limoux,,,SCIC SARL,SCIC SAPIE,,468747330,tll@sapie.coop,http://sapie.coop,8h à 18h30,8h à 18h30,8h à 18h30,8h à 18h30,8h à 18h30,,,<p><br><ul><li>lundi : 8h à 18h30</li><li>mardi : 8h à 18h30</li><li>mercredi : 8h à 18h30</li><li>jeudi : 8h à 18h30</li><li>vendredi : 8h à 18h30</li></ul></p>,Novembre 20,,,W,J-DE-ALL,Pour également les indépendant-es  professionnel-les  salarié-es en télétravail Un espace de travail partagé composé d'un coworking et de bureaux fermés  avec connexion wifi et offrant un accès aux espaces collectifs (cuisine  jardin  salle de repos  salles de réunion et de formation ...) et à du matériel (imprimantes  scanner). Retrouver le détail des tarifs sur notre site : https://sapie.coop/site/coworking/ Ouvert du lundi au vendredi de 8h à 18h30 et le mardi jusqu'à 20h,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>Pour également les indépendant-es  professionnel-les  salarié-es en télétravail Un espace de travail partagé composé d'un coworking et de bureaux fermés  avec connexion wifi et offrant un accès aux espaces collectifs (cuisine  jardin  salle de repos  salles de réunion et de formation ...) et à du matériel (imprimantes  scanner). Retrouver le détail des tarifs sur notre site : https://sapie.coop/site/coworking/ Ouvert du lundi au vendredi de 8h à 18h30 et le mardi jusqu'à 20h</li></ul></p>",PRO,DE-ALL,Pour également les Salarié-es  professionnel-les  indépendant-es Offre de formations certifiantes sur les compétences numériques  éligibles au CPF.,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Formation numérique professionnalisante</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>Pour également les Salarié-es  professionnel-les  indépendant-es Offre de formations certifiantes sur les compétences numériques  éligibles au CPF.</li></ul></p>",COMP,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ENT,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers collectifs d’entraide autour du numérique</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",FL,TP,Mise à disposition de machines 3 D : découpe laser  fraiseuse CNC  imprimantes 3D et d'outils de bricolage .... FabLab ouvert le mercredi et le jeudi de 14h à18h30 Adhésion et abonnement : 30 €/an pour un accès gratuit à l'atelier et au petit outillage. Permis machines payants ( 180 €) délivrés sur place pour une utilisation autonome Repair café le jeudi tous les 15 jours,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">FabLab</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Mise à disposition de machines 3 D : découpe laser  fraiseuse CNC  imprimantes 3D et d'outils de bricolage .... FabLab ouvert le mercredi et le jeudi de 14h à18h30 Adhésion et abonnement : 30 €/an pour un accès gratuit à l'atelier et au petit outillage. Permis machines payants ( 180 €) délivrés sur place pour une utilisation autonome Repair café le jeudi tous les 15 jours</li></ul></p>","<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>Pour également les indépendant-es  professionnel-les  salarié-es en télétravail Un espace de travail partagé composé d'un coworking et de bureaux fermés  avec connexion wifi et offrant un accès aux espaces collectifs (cuisine  jardin  salle de repos  salles de réunion et de formation ...) et à du matériel (imprimantes  scanner). Retrouver le détail des tarifs sur notre site : https://sapie.coop/site/coworking/ Ouvert du lundi au vendredi de 8h à 18h30 et le mardi jusqu'à 20h</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Formation numérique professionnalisante</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>Pour également les Salarié-es  professionnel-les  indépendant-es Offre de formations certifiantes sur les compétences numériques  éligibles au CPF.</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers collectifs d’entraide autour du numérique</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">FabLab</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Mise à disposition de machines 3 D : découpe laser  fraiseuse CNC  imprimantes 3D et d'outils de bricolage .... FabLab ouvert le mercredi et le jeudi de 14h à18h30 Adhésion et abonnement : 30 €/an pour un accès gratuit à l'atelier et au petit outillage. Permis machines payants ( 180 €) délivrés sur place pour une utilisation autonome Repair café le jeudi tous les 15 jours</li></ul></p>",TL-APTIC,Tiers lieu - APTIC,Oui,,43.055492,2.212835,W-PRO-COMP-ENT-FL,J-DE-ALL-DE-ALL-TP-TP-TP,,=11=
RH_fiche_20_,Ref_0020,,11,=11=,Mouthoumet,,Centre social Adhco,,11330,23 rue de la gare,,23 rue de la gare 11330 Mouthoumet,,,,Centre social,,04 68 70 18 50,adhco.developpement@orange.fr,http://www.adhco.fr/,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.960106,2.528877,,,,=11=
RH_fiche_21_,Ref_0021,,11,=11=,Mouthoumet,,France Services - Massif de Mouthoumet,ADHCO CENTRE SOCIAL,11330,23 rue de la gare,,23 rue de la gare 11330 Mouthoumet,,,Association,,,04 68 70 18 50,adhco.developpement@orange.fr,,9:00 - 12:30 / 14:00 - 17:30,9:00 - 12:30 / 14:00 - 17:30,9:00 - 12:30 / 14:00 - 17:30,9:00 - 12:30 / 14:00 - 17:30,9:00 - 12:30 / 14:00 - 17:30,-,,<p><br><ul><li>lundi : 9:00 - 12:30 / 14:00 - 17:30</li><li>mardi : 9:00 - 12:30 / 14:00 - 17:30</li><li>mercredi : 9:00 - 12:30 / 14:00 - 17:30</li><li>jeudi : 9:00 - 12:30 / 14:00 - 17:30</li><li>vendredi : 9:00 - 12:30 / 14:00 - 17:30</li><li>samedi : -</li></ul></p>,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,42.960106,2.528877,,,,=11=
RH_fiche_22_,Ref_0022,,11,=11=,Narbonne,,Ecole régionale deuxieme chance,,11000,,,11000 Narbonne,,,,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.205257,2.401897,,,,=11=
RH_fiche_23_,Ref_0023,,11,=11=,Narbonne,,Versus Internet Café,,11000,,,11000 Narbonne,,,,,,,info@versus.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.205257,2.401897,,,,=11=
RH_fiche_24_,Ref_0024,,11,=11=,Narbonne,,Maison de la l'Emploi et de la Formation,,11000,,,11000 Narbonne,,,,,,,multimedia@mef-narbonnaise.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.205257,2.401897,,,,=11=
RH_fiche_25_,Ref_0025,,11,=11=,Narbonne,,Centre social Aide Mutuelle à l'Insertion,,11000,24 boulevard Frédéric Mistral,,24 boulevard Frédéric Mistral 11000 Narbonne,,,,Centre social,,04 68 65 07 10,ami-aude@orange.fr,https://ami-aude.com/index.html,,,,,,,,,Decembre 2019,TP,,SENS,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",SENS,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.18616,3.002234,SENS-SENS,TP,,=11=
